city,subregion,lane-miles,population,lat,lon,lane-feet_per_pop,region,cumulative_population,cumulative_lane-miles
New York,New York,13.2,8467513,40.7127281,-74.0060152,0.00822154591918898,US,8467513,13.184857377051069
Los Angeles,California,50.3,3849297,34.0536909,-118.242766,0.06898611292056955,US,12316810,63.47804629879531
Chicago,Illinois,8.9,2696555,41.8755616,-87.6244212,0.01743688350313477,US,15013365,72.38325754780962
Houston,Texas,60.2,2288250,29.7589382,-95.3676974,0.13884985839274394,US,17301615,132.558103848415
Phoenix,Arizona,9.9,1624569,33.4484367,-112.074141,0.03228113091013799,US,18926184,142.4904759244665
Philadelphia,Pennsylvania,21.3,1576251,39.9527237,-75.1635262,0.07137270269309838,US,20502435,163.7975391806595
San Antonio,Texas,45.9,1451853,29.4246002,-98.4951405,0.16694723054115992,US,21954288,209.70337961681
San Diego,California,48.1,1381611,32.7174202,-117.1627728,0.18376383695594134,US,23335899,257.78863312827497
Dallas,Texas,87.0,1288457,32.7762719,-96.7968559,0.3564832941254,US,24624356,344.7798065561027
San Jose,California,45.9,983489,37.3361663,-121.890591,0.24630764733987362,US,25607845,390.65875764978546
Austin,Texas,14.7,964177,30.2711286,-97.7436995,0.08042862586897,US,26572022,405.34577113547977
Jacksonville,Florida,17.8,954614,30.3321838,-81.655651,0.09830190596506981,US,27526636,423.11856955611216
Fort Worth,Texas,58.8,935508,32.753177,-97.3327459,0.33171733990004326,US,28462144,481.89209705899276
Columbus,Ohio,46.2,906528,39.9622601,-83.0007065,0.2688059257329587,US,29368672,528.0436308171078
Indianapolis,Indiana,17.2,882039,39.7683331,-86.1583502,0.10313312641199504,US,30250711,545.272312576068
Charlotte,North Carolina,52.8,879709,35.2272086,-80.8430827,0.31716292105405486,US,31130420,598.1153194165114
San Francisco,California,18.3,815201,37.7790262,-122.419906,0.1188018026392407,US,31945621,616.4576202334265
Seattle,Washington,41.2,733919,47.6038321,-122.330062,0.29632735226346574,US,32679540,657.6470660754436
Denver,Colorado,0,711463,39.7392364,-104.984862,0.0,US,33391003,657.6470660754436
Oklahoma City,Oklahoma,13.6,687725,35.4729886,-97.5170536,0.10478126433305054,US,34078728,671.2949249795056
Nashville,Tennessee,35.6,678851,36.1622767,-86.7742984,0.2771783922751263,US,34757579,706.9318243685892
El Paso,Texas,45.3,678415,31.7865623,-106.441207,0.3523668076969397,US,35435994,752.2066213086875
Washington,District of Columbia,17.8,670050,38.8950368,-77.0365427,0.14063496209412338,US,36106044,770.0536774358026
Boston,Massachusetts,32.0,654776,42.3554334,-71.060511,0.25840022306891025,US,36760820,802.0980457047739
Las Vegas,Nevada,67.5,646790,36.1672559,-115.148516,0.5508896082698749,US,37407610,869.5809793663027
Portland,Oregon,45.1,641162,45.5202471,-122.674194,0.37172471148399966,US,38048772,914.7203277497315
Detroit,Michigan,38.6,632464,42.3315509,-83.0466403,0.32197143687492885,US,38681236,953.2876275322438
Louisville,Kentucky,33.9,628594,38.2542376,-85.759407,0.285156047091689,US,39309830,987.2359950067804
Memphis,Tennessee,15.9,628127,35.1460249,-90.0517638,0.1333055552981953,US,39937957,1003.0944833652633
Baltimore,Maryland,17.3,576498,39.2908816,-76.610759,0.15839097967679341,US,40514455,1020.3884384792239
Milwaukee,Wisconsin,48.7,569330,43.0349931,-87.922497,0.45134198455011504,US,41083785,1069.0555847034504
Albuquerque,New Mexico,11.1,562599,35.084386,-106.650424,0.10428731344235376,US,41646384,1080.1676942215101
Fresno,California,35.3,544510,36.7394421,-119.7848307,0.34201838837030973,US,42190894,1115.4389882842975
Tucson,Arizona,21.5,543242,32.2228765,-110.9748477,0.20865250905227659,US,42734136,1136.906565239331
Sacramento,California,20.8,525041,38.5810606,-121.493895,0.2095638204006796,US,43259177,1157.7455042217161
Mesa,Arizona,0,509475,33.4151005,-111.8314552,0.0,US,43768652,1157.7455042217161
Kansas City,Missouri,60.5,508394,39.100105,-94.5781416,0.628418293120057,US,44277046,1218.253854546049
Atlanta,Georgia,66.5,496461,33.7489924,-84.3902644,0.707132644713763,US,44773507,1284.743206804996
Omaha,Nebraska,31.9,487300,41.2587459,-95.9383758,0.34582088951576156,US,45260807,1316.6595930665546
Colorado Springs,Colorado,22.3,483956,38.8339578,-104.825348,0.24383393824051475,US,45744763,1339.0090054557832
Raleigh,North Carolina,0,469124,35.7803977,-78.6390989,0.0,US,46213887,1339.0090054557832
Virginia Beach,Virginia,3.4,457672,36.8529841,-75.9774183,0.03878525296392049,US,46671559,1342.3709229358028
Long Beach,California,17.9,456062,33.7690164,-118.191604,0.2074228566043273,US,47127621,1360.2871507442655
Miami,Florida,31.9,439890,25.7741728,-80.19362,0.38346338397036905,US,47567511,1392.2344439212968
Oakland,California,39.6,433823,37.8044557,-122.271356,0.4823562640989852,US,48001334,1431.866497247095
Minneapolis,Minnesota,50.2,425336,44.9772995,-93.2654692,0.6233687680711392,US,48426670,1482.0826295077588
Tulsa,Oklahoma,45.1,411401,36.1563122,-95.9927516,0.5786374932450107,US,48838071,1527.1682437802003
Bakersfield,California,6.2,407615,35.3738712,-119.0194639,0.08080414026629708,US,49245686,1533.406308104944
Wichita,Kansas,7.2,395699,37.6922361,-97.3375448,0.09564598590188043,US,49641385,1540.5743045017978
Arlington,Texas,0,392786,32.7355816,-97.1071186,0.0,US,50034171,1540.5743045017978
Aurora,Colorado,20.0,389347,39.7405111,-104.830994,0.27081082188770284,US,50423518,1560.5438842498113
Tampa,Florida,36.6,387050,27.9477595,-82.458444,0.49888815993056784,US,50810568,1597.114843018964
New Orleans,Louisiana,12.9,376971,29.9759983,-90.0782127,0.18044638124359846,US,51187539,1609.997996955286
Cleveland,Ohio,33.9,367991,41.4996574,-81.6936772,0.4870035587434241,US,51555530,1643.9398391116404
Anaheim,California,5.0,345940,33.8347516,-117.911732,0.07700873919490006,US,51901470,1648.9853700277547
Honolulu,Hawaii,19.9,345510,21.304547,-157.855676,0.30359058392025506,US,52246980,1668.8515788630364
Henderson,Nevada,0,322178,36.0301134,-114.9826194,0.0,US,52569158,1668.8515788630364
Stockton,California,29.2,322120,37.9577016,-121.2907796,0.4783759043635053,US,52891278,1698.0361330890917
Lexington,Kentucky,0,321793,38.0464066,-84.4970393,0.0,US,53213071,1698.0361330890917
Corpus Christi,Texas,6.8,317773,27.7635302,-97.4033191,0.11344945677433885,US,53530844,1704.864006995825
Riverside,California,20.5,317261,33.9533546,-117.3961623,0.3415278001878924,US,53848105,1725.3854940063195
Santa Ana,California,12.6,309441,33.7494951,-117.8732213,0.21548927532479864,US,54157546,1738.0145123483235
Orlando,Florida,57.6,309154,28.5421109,-81.3790304,0.983235336302879,US,54466700,1795.584803476994
Irvine,California,16.8,309031,33.6856969,-117.8259819,0.2863548178558635,US,54775731,1812.3447496354818
Cincinnati,Ohio,49.1,308935,39.1014537,-84.5124602,0.8393143069465548,US,55084666,1861.4533794492193
Newark,New Jersey,11.9,307220,40.735657,-74.1723667,0.20496834242146247,US,55391886,1873.3795866762498
Saint Paul,Minnesota,50.2,307193,44.9497487,-93.0931028,0.8632616854715054,US,55699079,1923.6045766279635
Pittsburgh,Pennsylvania,46.3,300431,40.4416941,-79.9900861,0.8138988304177415,US,55999510,1969.9152659312272
Greensboro,North Carolina,0,298263,36.0726355,-79.7919754,0.0,US,56297773,1969.9152659312272
St. Louis,Missouri,36.8,293310,38.6280278,-90.1910154,0.6617707334959461,US,56591083,2006.677382189124
Lincoln,Nebraska,1.9,292657,40.8088861,-96.7077751,0.03473457730489535,US,56883740,2008.6026316569873
Plano,Texas,36.2,288253,33.0136764,-96.6925096,0.6633037031886067,US,57171993,2044.8146169515376
Anchorage,Alaska,0,288121,61.2163129,-149.894852,0.0,US,57460114,2044.8146169515376
Durham,North Carolina,13.0,285527,35.996653,-78.9018053,0.24086812488632342,US,57745641,2057.840062613359
Jersey City,New Jersey,13.7,283927,40.7215682,-74.047455,0.2540214500570396,US,58029568,2071.499825539561
Chandler,Arizona,0,279458,33.3062031,-111.8411851,0.0,US,58309026,2071.499825539561
Chula Vista,California,14.8,277220,32.6400541,-117.0841955,0.2814494413078583,US,58586246,2086.276987304592
Buffalo,New York,28.9,276807,42.8867166,-78.8783922,0.5508588292168898,US,58863053,2115.1560744142585
North Las Vegas,Nevada,22.1,274133,36.2005843,-115.121584,0.42524903016902016,US,59137186,2137.234633578524
Gilbert,Arizona,0,273136,33.3527632,-111.789037,0.0,US,59410322,2137.234633578524
Madison,Wisconsin,0,269196,43.074761,-89.3837613,0.0,US,59679518,2137.234633578524
Reno,Nevada,19.2,268851,39.5261206,-119.8126581,0.3767443004742303,US,59948369,2156.4179824282965
Toledo,Ohio,21.2,268508,41.6529143,-83.5378173,0.417131506988141,US,60216877,2177.6306996022304
Fort Wayne,Indiana,0,265974,41.0799898,-85.1386015,0.0,US,60482851,2177.6306996022304
Lubbock,Texas,0,260993,33.5634402,-101.8792389,0.0,US,60743844,2177.6306996022304
St. Petersburg,Florida,26.7,258201,27.7703796,-82.6695085,0.5466503743153708,US,61002045,2204.362834696663
Laredo,Texas,13.9,256153,27.5236998,-99.497352,0.2865147835336252,US,61258198,2218.2627629819826
Irving,Texas,21.8,254198,32.8295183,-96.9442177,0.45219850351847496,US,61512396,2240.0332090420943
Chesapeake,Virginia,0,251269,36.7183708,-76.2466798,0.0,US,61763665,2240.0332090420943
Winston-Salem,North Carolina,25.7,250320,36.0998131,-80.2440518,0.542417165108324,US,62013985,2265.748713733366
Glendale,Arizona,0,249630,33.5386858,-112.185994,0.0,US,62263615,2265.748713733366
Scottsdale,Arizona,0,242753,33.4942189,-111.9260184,0.0,US,62506368,2265.748713733366
Garland,Texas,0,242035,32.912624,-96.6388833,0.0,US,62748403,2265.748713733366
Boise,Idaho,4.6,237446,43.6166163,-116.200886,0.10180211407625099,US,62985849,2270.32683963847
Norfolk,Virginia,21.4,235089,36.8448348,-76.2863999,0.4799988936269234,US,63220938,2291.6985176505646
Spokane,Washington,17.0,229071,47.6571934,-117.42351,0.3929449818042392,US,63450009,2308.746301727625
Fremont,California,0,227514,37.5482697,-121.988571,0.0,US,63677523,2308.746301727625
Richmond,Virginia,34.7,226604,37.5385087,-77.43428,0.8087565629785894,US,63904127,2343.456050249822
Santa Clarita,California,0,224593,34.4129,-118.554,0.0,US,64128720,2343.456050249822
San Bernardino,California,0,222203,34.8253019,-116.0833144,0.0,US,64350923,2343.456050249822
Baton Rouge,Louisiana,0,222185,30.4507936,-91.1391153,0.0,US,64573108,2343.456050249822
Hialeah,Florida,0,220490,25.8575963,-80.2781057,0.0,US,64793598,2343.456050249822
Tacoma,Washington,15.4,219205,47.2495798,-122.439874,0.36985637594787696,US,65012803,2358.8110439789234
Modesto,California,25.4,218771,37.6390972,-120.9968782,0.612956890471155,US,65231574,2384.2082394117388
Port St. Lucie,Florida,0,217523,27.2939333,-80.3503283,0.0,US,65449097,2384.2082394117388
Huntsville,Alabama,35.7,216963,34.729847,-86.5859011,0.8696404585382174,US,65666060,2419.943050549206
Des Moines,Iowa,23.4,212031,41.5910323,-93.6046655,0.5826502794283062,US,65878091,2443.340762935089
Moreno Valley,California,21.6,211600,33.937517,-117.2305944,0.5386256396550059,US,66089691,2464.9265934939904
Fontana,California,0,210761,34.0922335,-117.435048,0.0,US,66300452,2464.9265934939904
Frisco,Texas,6.2,210719,33.1506744,-96.8236116,0.15556266554457793,US,66511171,2471.1349285926435
Rochester,New York,30.4,210606,43.157285,-77.615214,0.7614516144533164,US,66721777,2501.50732986415
Yonkers,New York,1.6,209530,40.9312099,-73.8987469,0.04062384903848847,US,66931307,2503.119434994649
Fayetteville,North Carolina,8.8,208778,35.0525759,-78.878292,0.22357697179805067,US,67140085,2511.9599563995835
Worcester,Massachusetts,19.4,205918,42.2625621,-71.8018877,0.49645927459070816,US,67346003,2531.3216800558657
Columbus,Georgia,5.8,205617,32.4610708,-84.9880449,0.14863724609270051,US,67551620,2537.110002902427
Cape Coral,Florida,0,204510,26.6059432,-81.9806771,0.0,US,67756130,2537.110002902427
McKinney,Texas,0,202690,33.1976496,-96.6154471,0.0,US,67958820,2537.110002902427
Little Rock,Arkansas,18.7,201998,34.7465071,-92.2896267,0.48888224375526707,US,68160818,2555.8132671967596
Oxnard,California,0,201879,34.1976308,-119.1803818,0.0,US,68362697,2555.8132671967596
Amarillo,Texas,9.8,201234,35.2072185,-101.833824,0.2566460531942013,US,68563931,2565.5946898991238
Augusta,Georgia,5.9,201196,33.4709714,-81.9748429,0.1539420759538307,US,68765127,2571.4606993524585
Salt Lake City,Utah,1.7,200478,40.7596198,-111.886797,0.0451024108794523,US,68965605,2573.1732071419074
Montgomery,Alabama,17.0,198665,32.3669656,-86.3006485,0.45250898382742477,US,69164270,2590.1992861707095
Birmingham,Alabama,37.7,197575,33.5206824,-86.8024326,1.0075920575176496,US,69361845,2627.9028848002645
Grand Rapids,Michigan,41.0,197416,42.9632405,-85.6678639,1.0978603361318369,US,69559261,2668.951217398333
Grand Prairie,Texas,21.5,197347,32.7459645,-96.9977846,0.5761077820568512,US,69756608,2690.484009531964
Overland Park,Kansas,0,197106,38.9742502,-94.6851702,0.0,US,69953714,2690.484009531964
Tallahassee,Florida,0,197102,30.4380832,-84.2809332,0.0,US,70150816,2690.484009531964
Huntington Beach,California,0,196652,33.6783336,-118.0000166,0.0,US,70347468,2690.484009531964
Sioux Falls,South Dakota,0,196528,43.5488256,-96.7307737,0.0,US,70543996,2690.484009531964
Peoria,Arizona,0,194917,33.5806115,-112.237294,0.0,US,70738913,2690.484009531964
Knoxville,Tennessee,34.5,192648,35.9603948,-83.9210261,0.9447085654146846,US,70931561,2724.9529897800717
Glendale,California,29.9,192366,34.1469416,-118.2478471,0.8211445733374185,US,71123927,2754.8697126957204
Vancouver,Washington,25.6,192169,45.6306954,-122.6744557,0.7022770795064721,US,71316096,2780.4295392282356
Providence,Rhode Island,49.1,189692,41.8239891,-71.4128343,1.366525333956584,US,71505788,2829.524032343556
Akron,Ohio,13.8,189347,41.083064,-81.518485,0.3854409231458917,US,71695135,2843.346396448652
Brownsville,Texas,20.4,187831,25.9140277,-97.4890879,0.5721363634627014,US,71882966,2863.699605783039
Mobile,Alabama,0,184952,30.6867339,-88.0848929,0.0,US,72067918,2863.699605783039
Newport News,Virginia,18.9,184587,36.9775016,-76.42977,0.5420272254523525,US,72252505,2882.6486928028444
Tempe,Arizona,25.2,184118,33.4255117,-111.9400164,0.7240955386607434,US,72436623,2907.8985076488934
Shreveport,Louisiana,17.3,184021,32.4707862,-93.7559378,0.4963372034159694,US,72620644,2925.197081230297
Chattanooga,Tennessee,16.2,182113,35.0457219,-85.3094883,0.46834879026330606,US,72802757,2941.3509454805285
Fort Lauderdale,Florida,0,181668,26.1223084,-80.1433786,0.0,US,72984425,2941.3509454805285
Aurora,Illinois,0,179266,41.7571701,-88.3147539,0.0,US,73163691,2941.3509454805285
Elk Grove,California,17.4,178997,38.4087993,-121.3716178,0.5120638515731623,US,73342688,2958.710394957809
Ontario,California,0,177963,34.065846,-117.6484304,0.0,US,73520651,2958.710394957809
Salem,Oregon,0,177723,44.9391565,-123.033121,0.0,US,73698374,2958.710394957809
Cary,North Carolina,0,176987,35.7882893,-78.7812081,0.0,US,73875361,2958.710394957809
Santa Rosa,California,33.4,176938,38.4404925,-122.7141049,0.9962509722937296,US,74052299,2992.0957461956327
Rancho Cucamonga,California,0,175142,34.1033192,-117.5751735,0.0,US,74227441,2992.0957461956327
Eugene,Oregon,10.2,175096,44.0505054,-123.0950506,0.3060834803104601,US,74402537,3002.2461236707163
Oceanside,California,21.9,172982,33.1958696,-117.3794834,0.6694395801430268,US,74575519,3024.1781307639553
Clarksville,Tennessee,0,170957,36.5277607,-87.3588703,0.0,US,74746476,3024.1781307639553
Garden Grove,California,21.8,170488,33.7746292,-117.9463717,0.6744504695040272,US,74916964,3045.95572766638
Lancaster,California,0,170150,34.6981064,-118.1366153,0.0,US,75087114,3045.95572766638
Springfield,Missouri,0,169724,37.1968298,-93.2946576,0.0,US,75256838,3045.95572766638
Pembroke Pines,Florida,19.0,169391,26.0031465,-80.223937,0.5920777828003557,US,75426229,3064.950547307731
Fort Collins,Colorado,0,168538,40.5508527,-105.0668085,0.0,US,75594767,3064.950547307731
Palmdale,California,7.4,165761,34.5793131,-118.1171108,0.23523854882417133,US,75760528,3072.335656605391
Salinas,California,17.4,162791,36.6744117,-121.6550372,0.5641815438500307,US,75923319,3089.7302925343474
Hayward,California,0,159827,37.6688205,-122.080796,0.0,US,76083146,3089.7302925343474
Corona,California,54.0,159743,33.8752945,-117.5664449,1.783647731690404,US,76242889,3143.6934060956014
Paterson,New Jersey,28.6,157794,40.9167654,-74.171811,0.9575902759313811,US,76400683,3172.3112091259645
Murfreesboro,Tennessee,0,157519,35.8460396,-86.3921096,0.0,US,76558202,3172.3112091259645
Macon,Georgia,24.9,156762,32.8406946,-83.6324022,0.8378577024397202,US,76714964,3197.1870138891945
Lakewood,Colorado,0,156605,39.7085736,-105.0846694,0.0,US,76871569,3197.1870138891945
Killeen,Texas,0,156261,31.1171441,-97.727796,0.0,US,77027830,3197.1870138891945
Springfield,Massachusetts,41.0,154789,42.1018764,-72.5886727,1.3971388650892265,US,77182619,3238.1456744551597
Alexandria,Virginia,23.7,154706,38.8051095,-77.0470229,0.8096765543328077,US,77337325,3261.8695041927754
Kansas City,Kansas,16.4,154545,39.1134562,-94.626497,0.5607804411867142,US,77491870,3278.2834839812604
Sunnyvale,California,0,152258,37.3688301,-122.036349,0.0,US,77644128,3278.2834839812604
Hollywood,Florida,0,152131,26.0112014,-80.1494901,0.0,US,77796259,3278.2834839812604
Roseville,California,0.8,151901,38.7521235,-121.2880059,0.02834343821936508,US,77948160,3279.0989000056848
Charleston,South Carolina,10.6,151612,32.7884363,-79.9399309,0.36860762246795126,US,78099772,3289.683244486293
Escondido,California,4.6,150665,33.1216751,-117.0814849,0.16047330478976057,US,78250437,3294.262356317003
Joliet,Illinois,1.2,150372,41.5263603,-88.0840212,0.04316398939787156,US,78400809,3295.4916471150595
Berlin,Germany,0,3677472,52.5170365,13.3888599,0.0,EU,3677472,0
Madrid,Spain,1.1,3305408,40.4167047,-3.7035825,0.0017724691008732644,EU,6982880,1.1096086260945635
Rome,Italy,0,2761632,41.8933203,12.4829321,0.0,EU,9744512,1.1096086260945635
Paris,France,0,2139907,48.8538,2.3485,0.0,EU,11884419,1.1096086260945635
Vienna,Austria,0,1982442,48.2083537,16.3725042,0.0,EU,13866861,1.1096086260945635
Warsaw,Poland,0,1863056,52.2319581,21.0067249,0.0,EU,15729917,1.1096086260945635
Hamburg,Germany,0,1853935,53.550341,10.000654,0.0,EU,17583852,1.1096086260945635
Bucharest,Romania,0,1716983,44.4361414,26.1027202,0.0,EU,19300835,1.1096086260945635
Budapest,Hungary,0,1706851,47.48138955,19.14609413,0.0,EU,21007686,1.1096086260945635
Barcelona,Spain,0,1636732,41.3828939,2.1774322,0.0,EU,22644418,1.1096086260945635
Munich,Germany,0,1487708,48.1371079,11.5753822,0.0,EU,24132126,1.1096086260945635
Milan,Italy,0,1371498,45.4641943,9.1896346,0.0,EU,25503624,1.1096086260945635
Sofia,Bulgaria,0,1307439,42.6977028,23.3217359,0.0,EU,26811063,1.1096086260945635
Prague,Czech Republic,0,1275406,50.0874654,14.4212535,0.0,EU,28086469,1.1096086260945635
Cologne,Germany,1.1,1073096,50.938361,6.959974,0.005186256609934219,EU,29159565,2.1636524183472092
Stockholm,Sweden,0,978770,59.3251172,18.0710935,0.0,EU,30138335,2.1636524183472092
Amsterdam,Netherlands,0,921402,52.3730796,4.8924534,0.0,EU,31059737,2.1636524183472092
Naples,Italy,0,914758,40.8358846,14.2487679,0.0,EU,31974495,2.1636524183472092
Marseille,France,4.8,870731,43.2961743,5.3699525,0.028881309675938265,EU,32845226,6.926503110665277
Turin,Italy,0,848885,45.0677551,7.6824892,0.0,EU,33694111,6.926503110665277
Kraków,Poland,0,802583,50.0619474,19.9368564,0.0,EU,34496694,6.926503110665277
Valencia,Spain,0,789744,39.4697065,-0.3763353,0.0,EU,35286438,6.926503110665277
Zagreb,Croatia,0,769944,45.8131847,15.9771774,0.0,EU,36056382,6.926503110665277
Frankfurt am Main,Germany,0,759224,50.1106444,8.6820917,0.0,EU,36815606,6.926503110665277
Seville,Spain,0,684234,37.3886303,-5.9953403,0.0,EU,37499840,6.926503110665277
Zaragoza,Spain,0,675301,41.6521342,-0.8809428,0.0,EU,38175141,6.926503110665277
Wrocław,Poland,0,674312,51.1089776,17.0326689,0.0,EU,38849453,6.926503110665277
