city,subregion,groceries,population,lat,lon,region,cumulative_population,cumulative_groceries
New York,New York,102,8467513,40.7127281,-74.0060152,US,8467513,102
Los Angeles,California,11,3849297,34.0536909,-118.242766,US,12316810,113
Chicago,Illinois,24,2696555,41.8755616,-87.6244212,US,15013365,137
Houston,Texas,8,2288250,29.7589382,-95.3676974,US,17301615,145
Phoenix,Arizona,2,1624569,33.4484367,-112.074141,US,18926184,147
Philadelphia,Pennsylvania,44,1576251,39.9527237,-75.1635262,US,20502435,191
San Antonio,Texas,4,1451853,29.4246002,-98.4951405,US,21954288,195
San Diego,California,15,1381611,32.7174202,-117.1627728,US,23335899,210
Dallas,Texas,12,1288457,32.7762719,-96.7968559,US,24624356,222
San Jose,California,24,983489,37.3361663,-121.890591,US,25607845,246
Austin,Texas,10,964177,30.2711286,-97.7436995,US,26572022,256
Jacksonville,Florida,2,954614,30.3321838,-81.655651,US,27526636,258
Fort Worth,Texas,4,935508,32.753177,-97.3327459,US,28462144,262
Columbus,Ohio,6,906528,39.9622601,-83.0007065,US,29368672,268
Indianapolis,Indiana,11,882039,39.7683331,-86.1583502,US,30250711,279
Charlotte,North Carolina,11,879709,35.2272086,-80.8430827,US,31130420,290
San Francisco,California,95,815201,37.7790262,-122.419906,US,31945621,385
Seattle,Washington,39,733919,47.6038321,-122.330062,US,32679540,424
Denver,Colorado,20,711463,39.7392364,-104.984862,US,33391003,444
Oklahoma City,Oklahoma,9,687725,35.4729886,-97.5170536,US,34078728,453
Nashville,Tennessee,8,678851,36.1622767,-86.7742984,US,34757579,461
El Paso,Texas,3,678415,31.7865623,-106.441207,US,35435994,464
Washington,District of Columbia,30,670050,38.8950368,-77.0365427,US,36106044,494
Boston,Massachusetts,27,654776,42.3554334,-71.060511,US,36760820,521
Las Vegas,Nevada,5,646790,36.1672559,-115.148516,US,37407610,526
Portland,Oregon,21,641162,45.5202471,-122.674194,US,38048772,547
Detroit,Michigan,19,632464,42.3315509,-83.0466403,US,38681236,566
Louisville,Kentucky,1,628594,38.2542376,-85.759407,US,39309830,567
Memphis,Tennessee,0,628127,35.1460249,-90.0517638,US,39937957,567
Baltimore,Maryland,19,576498,39.2908816,-76.610759,US,40514455,586
Milwaukee,Wisconsin,15,569330,43.0349931,-87.922497,US,41083785,601
Albuquerque,New Mexico,10,562599,35.084386,-106.650424,US,41646384,611
Fresno,California,12,544510,36.7394421,-119.7848307,US,42190894,623
Tucson,Arizona,8,543242,32.2228765,-110.9748477,US,42734136,631
Sacramento,California,11,525041,38.5810606,-121.493895,US,43259177,642
Mesa,Arizona,10,509475,33.4151005,-111.8314552,US,43768652,652
Kansas City,Missouri,12,508394,39.100105,-94.5781416,US,44277046,664
Atlanta,Georgia,6,496461,33.7489924,-84.3902644,US,44773507,670
Omaha,Nebraska,5,487300,41.2587459,-95.9383758,US,45260807,675
Colorado Springs,Colorado,6,483956,38.8339578,-104.825348,US,45744763,681
Raleigh,North Carolina,7,469124,35.7803977,-78.6390989,US,46213887,688
Virginia Beach,Virginia,4,457672,36.8529841,-75.9774183,US,46671559,692
Long Beach,California,7,456062,33.7690164,-118.191604,US,47127621,699
Miami,Florida,10,439890,25.7741728,-80.19362,US,47567511,709
Oakland,California,40,433823,37.8044557,-122.271356,US,48001334,749
Minneapolis,Minnesota,20,425336,44.9772995,-93.2654692,US,48426670,769
Tulsa,Oklahoma,3,411401,36.1563122,-95.9927516,US,48838071,772
Bakersfield,California,6,407615,35.3738712,-119.0194639,US,49245686,778
Wichita,Kansas,0,395699,37.6922361,-97.3375448,US,49641385,778
Arlington,Texas,5,392786,32.7355816,-97.1071186,US,50034171,783
Aurora,Colorado,11,389347,39.7405111,-104.830994,US,50423518,794
Tampa,Florida,10,387050,27.9477595,-82.458444,US,50810568,804
New Orleans,Louisiana,16,376971,29.9759983,-90.0782127,US,51187539,820
Cleveland,Ohio,6,367991,41.4996574,-81.6936772,US,51555530,826
Anaheim,California,18,345940,33.8347516,-117.911732,US,51901470,844
Honolulu,Hawaii,20,345510,21.304547,-157.855676,US,52246980,864
Henderson,Nevada,5,322178,36.0301134,-114.9826194,US,52569158,869
Stockton,California,4,322120,37.9577016,-121.2907796,US,52891278,873
Lexington,Kentucky,7,321793,38.0464066,-84.4970393,US,53213071,880
Corpus Christi,Texas,3,317773,27.7635302,-97.4033191,US,53530844,883
Riverside,California,7,317261,33.9533546,-117.3961623,US,53848105,890
Santa Ana,California,8,309441,33.7494951,-117.8732213,US,54157546,898
Orlando,Florida,6,309154,28.5421109,-81.3790304,US,54466700,904
Irvine,California,10,309031,33.6856969,-117.8259819,US,54775731,914
Cincinnati,Ohio,13,308935,39.1014537,-84.5124602,US,55084666,927
Newark,New Jersey,13,307220,40.735657,-74.1723667,US,55391886,940
Saint Paul,Minnesota,21,307193,44.9497487,-93.0931028,US,55699079,961
Pittsburgh,Pennsylvania,21,300431,40.4416941,-79.9900861,US,55999510,982
Greensboro,North Carolina,1,298263,36.0726355,-79.7919754,US,56297773,983
St. Louis,Missouri,8,293310,38.6280278,-90.1910154,US,56591083,991
Lincoln,Nebraska,10,292657,40.8088861,-96.7077751,US,56883740,1001
Plano,Texas,7,288253,33.0136764,-96.6925096,US,57171993,1008
Anchorage,Alaska,9,288121,61.2163129,-149.894852,US,57460114,1017
Durham,North Carolina,8,285527,35.996653,-78.9018053,US,57745641,1025
Jersey City,New Jersey,32,283927,40.7215682,-74.047455,US,58029568,1057
Chandler,Arizona,14,279458,33.3062031,-111.8411851,US,58309026,1071
Chula Vista,California,13,277220,32.6400541,-117.0841955,US,58586246,1084
Buffalo,New York,3,276807,42.8867166,-78.8783922,US,58863053,1087
North Las Vegas,Nevada,1,274133,36.2005843,-115.121584,US,59137186,1088
Gilbert,Arizona,9,273136,33.3527632,-111.789037,US,59410322,1097
Madison,Wisconsin,9,269196,43.074761,-89.3837613,US,59679518,1106
Reno,Nevada,6,268851,39.5261206,-119.8126581,US,59948369,1112
Toledo,Ohio,6,268508,41.6529143,-83.5378173,US,60216877,1118
Fort Wayne,Indiana,3,265974,41.0799898,-85.1386015,US,60482851,1121
Lubbock,Texas,7,260993,33.5634402,-101.8792389,US,60743844,1128
St. Petersburg,Florida,10,258201,27.7703796,-82.6695085,US,61002045,1138
Laredo,Texas,3,256153,27.5236998,-99.497352,US,61258198,1141
Irving,Texas,5,254198,32.8295183,-96.9442177,US,61512396,1146
Chesapeake,Virginia,5,251269,36.7183708,-76.2466798,US,61763665,1151
Winston-Salem,North Carolina,5,250320,36.0998131,-80.2440518,US,62013985,1156
Glendale,Arizona,6,249630,33.5386858,-112.185994,US,62263615,1162
Scottsdale,Arizona,9,242753,33.4942189,-111.9260184,US,62506368,1171
Garland,Texas,4,242035,32.912624,-96.6388833,US,62748403,1175
Boise,Idaho,7,237446,43.6166163,-116.200886,US,62985849,1182
Norfolk,Virginia,5,235089,36.8448348,-76.2863999,US,63220938,1187
Spokane,Washington,8,229071,47.6571934,-117.42351,US,63450009,1195
Fremont,California,12,227514,37.5482697,-121.988571,US,63677523,1207
Richmond,Virginia,10,226604,37.5385087,-77.43428,US,63904127,1217
Santa Clarita,California,8,224593,34.4129,-118.554,US,64128720,1225
San Bernardino,California,0,222203,34.8253019,-116.0833144,US,64350923,1225
Baton Rouge,Louisiana,4,222185,30.4507936,-91.1391153,US,64573108,1229
Hialeah,Florida,2,220490,25.8575963,-80.2781057,US,64793598,1231
Tacoma,Washington,7,219205,47.2495798,-122.439874,US,65012803,1238
Modesto,California,0,218771,37.6390972,-120.9968782,US,65231574,1238
Port St. Lucie,Florida,1,217523,27.2939333,-80.3503283,US,65449097,1239
Huntsville,Alabama,8,216963,34.729847,-86.5859011,US,65666060,1247
Des Moines,Iowa,5,212031,41.5910323,-93.6046655,US,65878091,1252
Moreno Valley,California,1,211600,33.937517,-117.2305944,US,66089691,1253
Fontana,California,13,210761,34.0922335,-117.435048,US,66300452,1266
Frisco,Texas,5,210719,33.1506744,-96.8236116,US,66511171,1271
Rochester,New York,7,210606,43.157285,-77.615214,US,66721777,1278
Yonkers,New York,9,209530,40.9312099,-73.8987469,US,66931307,1287
Fayetteville,North Carolina,3,208778,35.0525759,-78.878292,US,67140085,1290
Worcester,Massachusetts,12,205918,42.2625621,-71.8018877,US,67346003,1302
Columbus,Georgia,0,205617,32.4610708,-84.9880449,US,67551620,1302
Cape Coral,Florida,2,204510,26.6059432,-81.9806771,US,67756130,1304
McKinney,Texas,4,202690,33.1976496,-96.6154471,US,67958820,1308
Little Rock,Arkansas,1,201998,34.7465071,-92.2896267,US,68160818,1309
Oxnard,California,7,201879,34.1976308,-119.1803818,US,68362697,1316
Amarillo,Texas,0,201234,35.2072185,-101.833824,US,68563931,1316
Augusta,Georgia,0,201196,33.4709714,-81.9748429,US,68765127,1316
Salt Lake City,Utah,19,200478,40.7596198,-111.886797,US,68965605,1335
Montgomery,Alabama,1,198665,32.3669656,-86.3006485,US,69164270,1336
Birmingham,Alabama,2,197575,33.5206824,-86.8024326,US,69361845,1338
Grand Rapids,Michigan,5,197416,42.9632405,-85.6678639,US,69559261,1343
Grand Prairie,Texas,5,197347,32.7459645,-96.9977846,US,69756608,1348
Overland Park,Kansas,8,197106,38.9742502,-94.6851702,US,69953714,1356
Tallahassee,Florida,7,197102,30.4380832,-84.2809332,US,70150816,1363
Huntington Beach,California,5,196652,33.6783336,-118.0000166,US,70347468,1368
Sioux Falls,South Dakota,5,196528,43.5488256,-96.7307737,US,70543996,1373
Peoria,Arizona,7,194917,33.5806115,-112.237294,US,70738913,1380
Knoxville,Tennessee,3,192648,35.9603948,-83.9210261,US,70931561,1383
Glendale,California,17,192366,34.1469416,-118.2478471,US,71123927,1400
Vancouver,Washington,4,192169,45.6306954,-122.6744557,US,71316096,1404
Providence,Rhode Island,13,189692,41.8239891,-71.4128343,US,71505788,1417
Akron,Ohio,5,189347,41.083064,-81.518485,US,71695135,1422
Brownsville,Texas,6,187831,25.9140277,-97.4890879,US,71882966,1428
Mobile,Alabama,3,184952,30.6867339,-88.0848929,US,72067918,1431
Newport News,Virginia,0,184587,36.9775016,-76.42977,US,72252505,1431
