city,subregion,parking,population,lat,lon,parking_per_pop,region,%_parking
San Juan,PR,27.7,311038,18.465299,-66.116666,3.8829692151784605,us,0.013789854388504726
Santa Ana,CA,25.3,307367,33.7494951,-117.8732213,3.5859927740147577,us,0.012584875706257208
Greensboro,NC,55.9,304909,36.0726355,-79.7919754,7.983819548296593,us,0.027794779831940394
Pittsburgh,PA,123.3,302425,40.4416941,-79.9900861,17.76292808800928,us,0.061335869912517986
Jersey City,NJ,128.5,301419,40.7215682,-74.047455,18.575960073261925,us,0.06392992218910462
St. Louis,MO,214.4,298034,38.6319657,-90.2428756,31.33998792706892,us,0.10664657653206544
Lincoln,NE,108.5,297622,40.8088861,-96.7077751,15.872972062816,us,0.053939332146278066
Durham,NC,83.9,294542,35.996653,-78.9018053,12.403921939283952,us,0.041714643668396556
Anchorage,AK,121.9,291131,61.2163129,-149.894852,18.234450448155656,us,0.06061266975069801
Plano,TX,32.3,290624,33.0136764,-96.6925096,4.8367558899009495,us,0.01604973726250807
Chandler,AZ,42.0,283959,33.3061605,-111.84125,6.438928983445981,us,0.0208762051253004
Chula Vista,CA,32.4,281801,32.6400541,-117.0841955,5.002239559541965,us,0.016094937649663413
Buffalo,NY,170.6,281757,42.8867166,-78.8783922,26.379301757754586,us,0.08486337364146557
Gilbert,AZ,50.3,279810,33.3527632,-111.7890373,7.832570342572716,us,0.02502360163161186
Madison,WI,72.5,277166,43.074761,-89.3837613,11.38811828374236,us,0.03603912231799143
Reno,NV,160.6,271953,39.5261206,-119.8126581,25.717596191057638,us,0.07985580814991187
North Las Vegas,NV,5.9,271641,36.2005843,-115.121584,0.9386858376428978,us,0.002911373122638188
Toledo,OH,183.2,267603,41.6529143,-83.5378173,29.815887807513437,us,0.09110055140660689
Fort Wayne,IN,99.9,265926,41.0799898,-85.1386015,16.370739650454244,us,0.04970629410102042
Irving,TX,4.0,264762,32.8295183,-96.9442177,0.6623966198321122,us,0.002002424004870305
Lubbock,TX,31.0,262655,33.5635206,-101.879336,5.138616993684416,us,0.015410410361856466
St. Petersburg,FL,49.0,261016,27.7703796,-82.6695085,8.178647769208624,us,0.024374230676641122
Laredo,TX,2.0,259027,27.5236998,-99.497352,0.3419664733250994,us,0.0010113718172086528
Chesapeake,VA,43.0,254864,36.7183708,-76.2466798,7.344858674970855,us,0.02137342989078657
Winston-Salem,NC,77.1,253531,36.0998131,-80.2440518,13.241429386150303,us,0.03833082974637042
Glendale,AZ,41.1,252645,33.5386858,-112.185994,7.088592608187873,us,0.020448102217669954
Garland,TX,49.4,249846,32.912624,-96.6388833,8.615218066319965,us,0.024576552274738216
Scottsdale,AZ,59.5,246157,33.4942189,-111.9260184,10.536866652631918,us,0.029614605830285943
Arlington,VA,106.1,244847,38.8769326,-77.0893094,18.874314207268252,us,0.05276528035967322
Enterprise,NV,2.4,244501,36.046139,-115.223759,0.43168092773762284,us,0.001205107483353013
Boise,ID,108.2,241686,43.6166163,-116.200886,19.504579800775534,us,0.05382330658571855
Santa Clarita,CA,11.7,239143,34.3916641,-118.542586,2.1351329391084475,us,0.005829950614400392
Norfolk,VA,1.0,237045,36.8968052,-76.2602336,0.1866749605753886,us,0.0005052416557073154
Fremont,CA,100.6,233788,37.5482697,-121.988571,18.740062610010167,us,0.05002366824380881
Spokane,WA,121.5,233003,47.6571934,-117.42351,22.709479218304494,us,0.06041586111841186
Richmond,VA,91.1,231090,37.5385087,-77.43428,17.174705250935883,us,0.045316120956703856
Baton Rouge,LA,4.6,227066,30.4507936,-91.1391153,0.874409035647082,us,0.0022669869935241288
San Bernardino,CA,0,224537,34.8253019,-116.0833144,0.0,us,0.0
Tacoma,WA,54.0,223536,47.2495798,-122.439874,10.524589833554302,us,0.026861789221721222
Spring Valley,NV,4.7,223037,36.1111405,-115.2428656,0.9194009056447305,us,0.002341338056878522
Hialeah,FL,22.4,222797,25.8575963,-80.2781057,4.389218228813995,us,0.011165515920060935
Huntsville,AL,163.4,221986,34.729847,-86.5859011,32.06895847729974,us,0.0812816896938777
Modesto,CA,19.7,221924,37.6390972,-120.9968782,3.868643538780773,us,0.009802690006366905
Frisco,TX,70.4,217213,33.1506744,-96.8236116,14.122758696956947,us,0.03502576542897595
Des Moines,IA,114.8,216273,41.5910323,-93.6046655,23.123880947197446,us,0.057101210038630675
Yonkers,NY,17.1,214687,40.9312099,-73.8987469,3.4712347165043242,us,0.008508872383348486
Port St. Lucie,FL,0,212901,27.2939333,-80.3503283,0.0,us,0.0
Moreno Valley,CA,6.6,211688,33.937517,-117.2305944,1.3655739265683615,us,0.003300606404581598
Worcester,MA,144.4,211612,42.2625621,-71.8018877,29.71904696103716,us,0.07180545728645833
Rochester,NY,118.6,211480,43.157285,-77.615214,24.425338325525672,us,0.05897828937686768
Fontana,CA,43.5,210857,34.0922335,-117.435048,8.984708174305304,us,0.021630884638504162
Columbus,GA,48.4,210330,32.4610708,-84.9880449,10.031644647068463,us,0.024091045270786475
Fayetteville,NC,3.5,210089,35.0525759,-78.878292,0.7219971655921258,us,0.0017318931270569728
Sunrise Manor,NV,1.6,208868,36.1830875,-115.02796403836633,0.33529600895561945,us,0.0007996180232437361
McKinney,TX,24.8,208146,33.1976496,-96.6154471,5.187640663230663,us,0.01232878381739265
Little Rock,AR,151.5,204405,34.7465071,-92.2896267,32.29300632823679,us,0.07536718160416613
Augusta,GA,55.7,203329,33.4709714,-81.9748429,11.940576793550674,us,0.027720873627710273
Oxnard,CA,21.1,202895,34.1976308,-119.1803818,4.5305080036364815,us,0.010495437068960157
Salt Lake City,UT,116.1,202379,40.7596198,-111.8867975,24.997365009901507,us,0.05776196508226872
Amarillo,TX,57.6,202333,35.2072185,-101.833824,12.399471505630233,us,0.028645221053925855
Overland Park,KS,17.0,202012,38.9742502,-94.6851702,3.6634257535736987,us,0.008449808075696737
Cape Coral,FL,32.3,201958,26.6059432,-81.9806771,6.956700172383145,us,0.01604156108911902
Grand Rapids,MI,131.0,201093,42.9632405,-85.6678639,28.378481827132795,us,0.06515809725400126
Huntington Beach,CA,39.8,200455,33.6783336,-118.0000166,8.648079476673214,us,0.01979332919998575
Sioux Falls,SD,90.2,200243,43.5488256,-96.7307737,19.625654425581082,us,0.044870795884113204
Grand Prairie,TX,41.4,200240,32.7459645,-96.9977846,9.00707405158931,us,0.020592868780631744
Montgomery,AL,34.8,199571,32.3669656,-86.3006485,7.598491172196014,us,0.017314385349339587
Tallahassee,FL,63.0,199127,30.4380832,-84.2809332,13.789394682017926,us,0.03135145025849037
Birmingham,AL,256.0,198433,33.5206824,-86.8024326,56.2030253121792,us,0.12733736949071275
Peoria,AZ,12.3,198369,33.5806115,-112.237294,2.7074203030211907,us,0.006132135850893811
Glendale,CA,68.5,197507,34.1469416,-118.2478471,15.096626908094915,us,0.03404432257345945
Vancouver,WA,48.3,196739,45.6306954,-122.6744557,10.697082097825342,us,0.024029131315040236
Providence,RI,166.1,193512,41.8239891,-71.4128343,37.37894718060425,us,0.0825880569494287
Knoxville,TN,29.2,193114,35.9603948,-83.9210261,6.586614903543539,us,0.014523066109378197
Brownsville,TX,21.8,189082,25.9140277,-97.4890879,5.010784939647016,us,0.010817782193362513
Akron,OH,197.8,188741,41.083064,-81.518485,45.65951645830868,us,0.0983965433203312
Newport News,VA,68.4,187353,36.9775016,-76.42977,15.903057090240095,us,0.034019157343181235
Fort Lauderdale,FL,63.8,186208,26.1223084,-80.1433786,14.917311719910893,us,0.03171547227200427
Mobile,AL,41.4,185427,30.6867339,-88.0848929,9.715700334838662,us,0.020569766673113554
Shreveport,LA,51.2,185249,32.4707862,-93.7559378,12.034220873263841,us,0.025454005445301648
Paradise,NV,122.6,184852,36.1150858,-115.173414,28.897094885685224,us,0.06099027899283011
Tempe,AZ,77.7,184361,33.4255056,-111.9400091,18.369876670033374,us,0.038668522472488774
Chattanooga,TN,230.5,183783,35.0457219,-85.3094883,54.63489008919847,us,0.11464567943966857
Cary,NC,36.3,182619,35.7882893,-78.7812081,8.655445834321423,us,0.018047526386740915
Eugene,OR,147.9,180748,44.0505054,-123.0950506,35.63333718337207,us,0.07353807888236731
Elk Grove,CA,4.3,180746,38.4087993,-121.3716178,1.0483090714836665,us,0.002163417413791657
Santa Rosa,CA,78.2,180189,38.4404925,-122.7141049,18.89674558770516,us,0.03887743226530609
Salem,OR,86.3,179715,44.9391565,-123.033121,20.91922083750649,us,0.042925178926055824
Ontario,CA,0,177533,50.000678,-86.000977,0.0,us,0.0
Aurora,IL,52.0,177070,41.7571701,-88.3147539,12.798584737336903,us,0.02587552783374812
Lancaster,CA,55.6,176892,34.6981064,-118.1366153,13.68006791580727,us,0.027629862773734026
Rancho Cucamonga,CA,86.8,176289,34.1033192,-117.5751735,21.452362856595467,us,0.04317999927585194
Oceanside,CA,34.3,175464,33.1958696,-117.3794834,8.522878103784455,us,0.01707483772548275
Fort Collins,CO,60.8,174974,40.5508527,-105.0668085,15.14783586637104,us,0.030262610838265626
Pembroke Pines,FL,21.3,174464,26.0031465,-80.223937,5.3113087706545485,us,0.010580097194873678
Clarksville,TN,105.3,173480,36.5277607,-87.3588703,26.437098011749594,us,0.052365526790249646
Palmdale,CA,16.5,172790,34.5793131,-118.1171108,4.148143014033536,us,0.008183792472690672
Garden Grove,CA,2.2,172163,33.7746292,-117.9463717,0.5457055450170119,us,0.001072705409656399
Springfield,MO,87.4,171112,37.1968298,-93.2946576,22.236758050123324,us,0.04344444168821864
Hayward,CA,34.8,166708,37.6688205,-122.080796,9.080911513280581,us,0.017284951582151743
Salinas,CA,69.3,166162,36.6744117,-121.6550372,18.173300177342835,us,0.03447845473526488
Alexandria,VA,63.7,163367,38.8051095,-77.0470229,16.979270601211613,us,0.03167128219925486
Paterson,NJ,47.9,162438,40.9167654,-74.171811,12.856466203712388,us,0.023844681641756862
Murfreesboro,TN,143.3,161571,35.8460396,-86.3921096,38.621641408612234,us,0.0712486143233653
Bayamon,PR,62.8,161242,18.3990551,-66.1560326,16.96650156632389,us,0.031235809115260135
Sunnyvale,CA,63.5,158949,37.3688301,-122.036349,17.39110774532971,us,0.031562204393338435
Kansas City,KS,95.4,158771,39.1134562,-94.626497,26.167766084437254,us,0.047437316286799196
Lakewood,CO,109.1,158584,39.7085736,-105.0846694,29.959273928745723,us,0.05424665132403321
Killeen,TX,23.9,158129,31.1171441,-97.727796,6.593114215042278,us,0.01190376668260322
Corona,CA,19.0,158088,33.8752945,-117.5664449,5.249016947652653,us,0.009474562442821709
Bellevue,WA,126.0,157752,47.6144219,-122.192337,34.796356883168315,us,0.0626745078987869
Springfield,MA,107.7,156503,42.1018764,-72.5886727,29.984332600401356,us,0.05357958380899705
Charleston,SC,35.4,156255,32.7876012,-79.9402728,9.873180538173516,us,0.017614620216554175
Hollywood,FL,15.4,155527,26.0112014,-80.1494901,4.308560117295287,us,0.007651035800923112
Roseville,CA,56.8,153569,38.7521235,-121.2880059,16.124225466915423,us,0.028272531773997356
Pasadena,TX,52.1,152532,29.6910753,-95.2092076,14.884600770938635,us,0.02592271216551132
Escondido,CA,59.2,152464,33.1216751,-117.0814849,16.907829460068207,us,0.0294331979016462
Pomona,CA,36.3,152245,34.0553813,-117.7517496,10.387136286416467,us,0.01805598356094153
Mesquite,TX,8.2,152164,32.7666103,-96.599472,2.3379608093124795,us,0.004061920558418215
Naperville,IL,118.2,151078,41.7728699,-88.1479278,34.08975735424179,us,0.05880407450326537
Joliet,IL,63.9,150948,41.5263603,-88.0840212,18.450258300703084,us,0.031798899929812385
Savannah,GA,12.6,150078,32.0564572,-81.0951271,3.6592089915978208,us,0.006270274158945515
Jackson,MS,34.7,149739,32.3086744,-90.1983063,10.089963506468228,us,0.017250703319812155
Bridgeport,CT,92.8,149538,41.1670412,-73.2048348,27.030994022254436,us,0.04615256754775798
Syracuse,NY,187.0,149310,43.0481221,-76.1474244,54.56707176047946,us,0.09302546005947743
Surprise,AZ,64.7,148274,33.6292271,-112.3680189,19.00808316096602,us,0.03217996810475406
Rockford,IL,48.0,147811,42.2713945,-89.093966,14.141623097134909,us,0.023866475867107814
Torrance,CA,99.9,147393,33.8358492,-118.3406288,29.536300569034825,us,0.049706735255945746
Thornton,CO,107.4,146487,39.8695516,-104.985181,31.941422519029075,us,0.053423903935903044
Kent,WA,52.0,145424,47.3826903,-122.2270272,15.572904594835673,us,0.025857586803679652
Fullerton,CA,64.0,145309,33.8708215,-117.9294165,19.18949762088412,us,0.03183745919523158
Denton,TX,8.5,145167,33.1838787,-97.1413417,2.5440540865857217,us,0.00421673709294258
Visalia,CA,8.7,144772,36.3302284,-119.292058,2.603740564620175,us,0.00430392371986413
McAllen,TX,26.7,144676,26.204114,-98.2300605,8.045445547262883,us,0.013290119162195302
London,United Kingdom,14.5,8961989,51.5073359,-0.12765,0.0706197725520052,europe,0.007226250347024536
Berlin,Germany,27.8,3426354,52.5170365,13.3888599,0.35305570692877064,europe,0.01381203750964839
Madrid,Spain,4.9,3255944,40.4167047,-3.7035825,0.06550851369240933,europe,0.0024353251560232385
Kyiv,Ukraine,16.8,2797553,50.4500336,30.5241361,0.26098564802885876,europe,0.0083363747752312
Rome,Italy,20.5,2318895,41.8933203,12.4829321,0.3845265879029724,europe,0.010180983665086215
Paris,France,6.9,2138551,48.8588897,2.3200410217200766,0.1396872243319868,europe,0.003410818278746329
Bucharest,Romania,38.9,1877155,44.4361414,26.1027202,0.9032945466814389,europe,0.019360287627353145
Minsk,Belarus,53.0,1742124,53.9024716,27.5618225,1.3261918802995165,europe,0.02637956991073829
Budapest,Hungary,18.5,1741041,47.4979937,19.0403594,0.4624173962546921,europe,0.009192326566944346
Hamburg,Germany,44.2,1739117,53.550341,10.000654,1.1068909334869983,europe,0.02197940404997603
Warsaw,Poland,112.0,1702139,52.2319581,21.0067249,2.866343927189757,europe,0.055706465525448674
Vienna,Austria,17.4,1691468,48.2083537,16.3725042,0.44930007075441597,europe,0.008677258894267471
Barcelona,Spain,16.1,1621537,41.3828939,2.1774322,0.4334420522071632,europe,0.008024910342022325
Stockholm,Sweden,13.8,1515017,59.3251172,18.0710935,0.39681545894534864,europe,0.00686417537906435
Kharkiv,Ukraine,26.8,1430885,49.9923181,36.2310146,0.8154906317800257,europe,0.013323121532870482
Belgrade,Serbia,25.5,1273651,44.8178131,20.4568974,0.8737476436562847,europe,0.012706289342719784
Munich,Germany,13.5,1260391,48.1371079,11.5753822,0.4652911499916696,europe,0.006695952555506055
Milan,Italy,8.9,1236837,45.4641943,9.1896346,0.31364058393278416,europe,0.0044292174747436975
Prague,Czech Republic,18.9,1165581,50.0874654,14.4212535,0.7064070045161295,europe,0.009401123081514851
Copenhagen,Denmark,30.6,1153615,55.6867243,12.5700724,1.1545856067825033,europe,0.015207902370090782
Sofia,Bulgaria,40.8,1152556,42.6977028,23.3217359,1.5423582145577353,europe,0.020296893316689716
Donetsk,Ukraine,32.1,1024700,48.0158753,37.8013407,1.3660397306559873,europe,0.01598241300727367
Dublin,Ireland,31.6,1024027,53.3498006,-6.2602964,1.3427207605481473,europe,0.0156992676524044
Brussels,Belgium,9.6,1019022,50.8465573,4.351697,0.41074750860735837,europe,0.004779041263720664
Odessa,Ukraine,11.5,1013159,46.4843023,30.7322878,0.4958705566629524,europe,0.005736251850850192
Dnipro,Ukraine,0,998103,51.9191343,30.8243039,0.0,europe,0.0
Birmingham,United Kingdom,69.2,984333,52.4796992,-1.9026911,3.061109077460398,europe,0.03440354003446491
Koeln,Germany,47.3,963395,50.938361,6.959974,2.138420945746889,europe,0.023522304620481826
Naples,Italy,13.6,959470,40.8358846,14.2487679,0.6185502920360313,europe,0.006776238739595594
Turin,Italy,13.6,870456,45.0677551,7.6824892,0.6812554735538567,europe,0.00677078635134249
Liverpool,United Kingdom,89.1,864122,53.4071991,-2.99168,4.489440215872774,europe,0.04429447279724802
Valencia,Spain,14.2,814208,39.4697065,-0.3763353,0.7602732404620008,europe,0.007067850460235547
Marseille,France,9.1,794811,43.2961743,5.3699525,0.49754337344072325,europe,0.004515201098057336
Lodz,Poland,151.8,768755,51.7687323,19.4569911,8.599596381044158,europe,0.07548285252612033
Krakow,Poland,48.2,755050,50.0619474,19.9368564,2.779885910589657,europe,0.023965415696388475
Riga,Latvia,63.3,742572,56.9493977,24.1051846,3.7153681780998316,europe,0.031500881622635785
Amsterdam,Netherlands,8.8,741636,52.3730796,4.8924534,0.5158993894939925,europe,0.004368557929351266
Zaporizhzhya,Ukraine,20.5,738728,47.8507859,35.1182867,1.2093397506823877,europe,0.010200352280991726
Lviv,Ukraine,15.3,717803,49.841952,24.0315921,0.9256800055842971,europe,0.007586621798378462
Sevilla,Spain,20.5,703206,37.3886303,-5.9953403,1.2716397508388426,europe,0.010210075302613256
Zagreb,Croatia,3.3,698966,45.84264135,15.962231476593626,0.20872051777972808,europe,0.0016657256618556836
Sarajevo,Bosnia and Herzegovina,42.1,696731,43.8519774,18.3866868,2.6315084528175188,europe,0.020933998362542405
Sheffield,United Kingdom,74.0,685368,53.3806626,-1.4702278,4.70604651912804,europe,0.03682665907633982
Zaragoza,Spain,25.4,674317,41.6521342,-0.8809428,1.6418135282047879,europe,0.012640673698457243
Athens,Greece,11.9,664046,37.9839412,23.7283052,0.7812368002728801,europe,0.005923291962999573
Frankfurt am Main,Germany,8.7,650000,50.1106444,8.6820917,0.58184827368303,europe,0.00431822620925097
Palermo,Italy,49.4,648260,38.1112268,13.3524434,3.3227945750509993,europe,0.024594330219674596
Chisinau,Moldova,7.2,635994,47.0245117,28.8322923,0.48988416113413025,europe,0.0035573672201825468
Wroclaw,Poland,66.9,634893,51.1089776,17.0326689,4.590273681703461,europe,0.033275255657091475
Bristol,United Kingdom,62.2,617280,51.4538022,-2.5972985,4.391485848028803,europe,0.030951091968946548
Rotterdam,Netherlands,17.4,598199,51.9244424,4.47775,1.2650350884800357,europe,0.00864033411642402
Essen,Germany,82.1,593085,51.4582235,7.0158171,6.0273179285675385,europe,0.040815330983119104
Glasgow,United Kingdom,56.9,591620,55.8606182,-4.2497933,4.1864382820672486,europe,0.02827937600867199
Stuttgart,Germany,12.7,589793,48.7784485,9.1800132,0.9407264996843072,europe,0.006334980377980173
Dortmund,Germany,72.2,588462,51.5142273,7.4652789,5.342913134331919,europe,0.03589870805011804
Genoa,Italy,26.3,580223,44.40726,8.9338624,1.9709543894002655,europe,0.01305731245453175
Oslo,Norway,12.1,580000,59.9133301,10.7389701,0.9118829510713508,europe,0.006038782277810322
Duesseldorf,Germany,21.4,573057,51.2254018,6.7763137,1.6282955758568722,europe,0.010654016057496354
Goeteborg,Sweden,47.2,572799,57.7072326,11.9670171,3.5891541918778676,europe,0.023473435139371817
Poznan,Poland,83.8,570352,52.4006632,16.91973259178088,6.398236547322908,europe,0.04166635821295102
Malaga,Spain,44.9,568305,36.7213028,-4.4216366,3.4386294792157734,europe,0.022312546642190418
Helsinki,Finland,27.0,558457,60.1674881,24.9427473,2.105936009841305,europe,0.0134281811685541
Bremen,Germany,57.4,546501,53.0758196,8.8071646,4.576465285323561,europe,0.028556397299783588
Vilnius,Lithuania,56.5,542366,54.6870458,25.2829111,4.537737800424094,europe,0.02810050576787847
Lisbon,Portugal,20.5,517802,38.7077507,-9.1365919,1.7238450104460625,europe,0.010191643457017573
Nuernberg,Germany,30.4,515543,49.453872,11.077298,2.5681301601194275,europe,0.015116951088042403
Hannover,Germany,45.4,515140,52.3744779,9.7385532,3.843053893312305,europe,0.022603934009359068
Leicester,United Kingdom,77.8,508916,52.6362,-1.1331969,6.656448501713466,europe,0.038678619377238266
Leipzig,Germany,64.8,504971,51.3406321,12.3747329,5.592218694478259,europe,0.03224280872867537
Duisburg,Germany,74.8,504358,51.434999,6.759562,6.461069180288994,europe,0.037207079933900856
Dresden,Germany,86.8,486854,51.0493286,13.7381437,7.768324581007975,europe,0.043182560286778075
Mykolayiv,Ukraine,8.8,483186,46.9380295,32.0626947,0.7938372663318194,europe,0.004379536068839668
Homyel',Belarus,9.1,480951,52.4238936,31.0131698,0.8211147490519529,europe,0.0045090698955151465
Skopje,North Macedonia,52.4,474889,41.9961816,21.4319213,4.802110421095969,europe,0.02603793475154258
The Hague,Netherlands,21.6,474292,52.0799838,4.3113461,1.9860865704805752,europe,0.01075539231535277
Lyon,France,16.3,472317,45.7578137,4.8320114,1.5027525684966276,europe,0.008104072889543176
Edinburgh,United Kingdom,47.4,464990,55.9533456,-3.1883749,4.4399471367746175,europe,0.023572394173331436
Sevastopol,Ukraine,1.6,464349,44.624513,33.5098156,0.15471867063414896,europe,0.0008202939757145668
Gdansk,Poland,41.9,461865,54.3706858,18.61298210330077,3.948409237309501,europe,0.02082185866732527
Antwerpen,Belgium,16.9,459805,51.2211097,4.3997081,1.6034067500537512,europe,0.008417820861685238
Leeds,United Kingdom,94.3,455123,53.7974185,-1.5437941,9.024770936296177,europe,0.04689723665029776
Luhansk,Ukraine,0.1,452000,49.2724587,38.9150477,0.0067036162273817245,europe,3.4596316427688656e-05
Cardiff,United Kingdom,51.2,447287,51.4816546,-3.1791934,4.984447373971559,europe,0.025455731016941256
Murcia,Spain,32.3,436870,37.9923795,-1.1305431,3.221210481510202,europe,0.016067696077734124
Toulouse,France,19.9,433055,43.6044622,1.4442469,2.0046780680693583,europe,0.00991219822633501
Mariupol,Ukraine,13.1,431859,47.0957648,37.5499621,1.3222996122740278,europe,0.006520098062933951
